bits, TICKS
0, 20576496 
0, 20607137 
0, 20637778 
0, 20668419 
0, 20699059 
0, 20729700 
0, 20760339 
0, 20790978 
0, 20821616 
0, 20852253 
0, 20882891 
0, 20913529 
0, 20944166 
0, 20974803 
0, 21005441 
0, 21036076 
0, 21066714 
0, 21097351 
0, 21127989 
0, 21158627 
0, 21189264 
0, 21219901 
0, 21250539 
0, 21281177 
0, 21311814 
0, 21342451 
0, 21373086 
0, 21403725 
0, 21434363 
0, 21464997 
0, 21495636 
0, 21526275 
0, 21556913 
0, 21587550 
0, 21613519 
0, 21644159 
0, 21674799 
0, 21705440 
0, 21736079 
0, 21766718 
0, 21797356 
0, 21827994 
0, 21858632 
0, 21889270 
0, 21919907 
0, 21950544 
0, 21981182 
0, 22011820 
0, 22042457 
0, 22073094 
0, 22103732 
0, 22134370 
0, 22165007 
0, 22195644 
0, 22226282 
0, 22256920 
0, 22287557 
0, 22318194 
0, 22348832 
0, 22379470 
0, 22410107 
0, 22440744 
0, 22471382 
0, 22502020 
0, 22532654 
0, 22563290 
0, 22593929 
0, 22624568 
0, 22655206 
0, 22685840 
0, 22716479 
0, 22742448 
0, 22773088 
0, 22803729 
0, 22834370 
0, 22865010 
0, 22895650 
0, 22926291 
0, 22956930 
0, 22987569 
0, 23018207 
0, 23048845 
0, 23079483 
0, 23110121 
0, 23140755 
0, 23171393 
0, 23202031 
0, 23232666 
0, 23263302 
0, 23293938 
0, 23324577 
0, 23355216 
0, 23385852 
0, 23416490 
0, 23447128 
0, 23477766 
0, 23508403 
0, 23539040 
0, 23569678 
0, 23600316 
0, 23630950 
0, 23661588 
0, 23692226 
0, 23722864 
0, 23753501 
0, 23784138 
0, 23814776 
0, 23840745 
0, 23871385 
0, 23902026 
0, 23932667 
0, 23963307 
0, 23993947 
0, 24024586 
0, 24055225 
0, 24085862 
0, 24116500 
0, 24147135 
0, 24177774 
0, 24208413 
0, 24239051 
0, 24269688 
0, 24300326 
0, 24330961 
0, 24361599 
0, 24392236 
0, 24422874 
0, 24453512 
0, 24484146 
0, 24514784 
0, 24545422 
0, 24576057 
0, 24606695 
0, 24637332 
0, 24667970 
0, 24698608 
0, 24729245 
0, 24759882 
0, 24790520 
0, 24821158 
0, 24851795 
0, 24882432 
0, 24913070 
0, 24943708 
0, 24969676 
0, 25000317 
0, 25030958 
0, 25061598 
0, 25092238 
0, 25122877 
0, 25153516 
0, 25184152 
0, 25214790 
0, 25245428 
0, 25276066 
0, 25306704 
0, 25337341 
0, 25367979 
0, 25398617 
0, 25429255 
0, 25459892 
0, 25490529 
0, 25521167 
0, 25551805 
0, 25582442 
0, 25613079 
0, 25643717 
0, 25674355 
0, 25704992 
0, 25735629 
0, 25766267 
0, 25796905 
0, 25827542 
20, 25858179 
6, 25888867 
21, 25919505 
39, 25950192 
44, 25980879 
41, 26011567 
19, 26042255 
0, 26068273 
0, 26098914 
0, 26129555 
4, 26160195 
0, 26190835 
0, 26221474 
