X, Y, Z, TICKS
1983,2006,2090,2109329
1987,2005,2090,2111011
1985,2006,2090,2112725
1983,2007,2091,2114407
1983,2003,2089,2116090
1983,2004,2089,2117773
1983,2001,2089,2119456
1983,2006,2092,2121138
1983,2004,2087,2122820
1982,2005,2091,2139765
1985,2008,2089,2141448
1984,2007,2089,2143130
1981,2006,2091,2144812
1983,2001,2086,2146495
1982,2006,2090,2148178
1983,2007,2092,2149861
1983,2002,2091,2151543
1981,2004,2090,2153245
1986,2006,2090,2154928
1983,2013,2090,2156611
1981,2017,2089,2158293
1979,2005,2089,2159976
1981,2008,2091,2161659
1983,2003,2088,2163342
1983,2005,2089,2165025
1982,2005,2091,2166707
1983,2003,2089,2168389
1982,2004,2091,2170072
1983,2005,2089,2187038
1986,2005,2091,2188722
1983,2006,2091,2190404
1979,2007,2090,2192118
1982,2004,2087,2193800
1986,2007,2089,2195483
1983,2007,2090,2197166
1983,2004,2091,2198849
1984,2006,2090,2200532
1981,2007,2091,2202214
1986,2007,2092,2203897
1986,2005,2089,2205579
1983,2006,2088,2207262
1983,2005,2091,2208945
1983,2003,2090,2210628
1986,2003,2088,2212343
1989,2004,2093,2214025
1984,2005,2089,2215708
1986,2005,2089,2217391
1983,2006,2090,2234336
1979,2007,2088,2236020
1982,2006,2091,2237703
1983,2006,2091,2239385
1985,2006,2089,2241067
1985,2004,2090,2242750
1983,2008,2092,2244433
1983,2006,2090,2246116
1980,2006,2092,2247798
1980,2005,2091,2249480
1985,2007,2089,2251182
1984,2005,2091,2252864
1984,2006,2089,2254547
1983,2007,2091,2256230
1982,2005,2090,2257913
1982,2006,2089,2259595
1983,2003,2089,2261277
1984,2008,2088,2262960
1982,2005,2089,2264643
1983,2005,2091,2281587
1980,2006,2094,2283271
1983,2005,2091,2284954
1982,2005,2091,2286636
1983,2008,2088,2288318
1979,2013,2090,2290001
1983,2006,2091,2291717
1986,2006,2091,2293400
1984,2000,2089,2295083
1985,2005,2089,2296766
1981,2006,2089,2298448
1983,2002,2088,2300131
1984,2005,2092,2301814
1983,2004,2090,2303497
1980,2005,2090,2305180
1982,2005,2090,2306862
1981,2002,2091,2308544
1983,2006,2090,2310227
1981,2005,2088,2311927
1982,2006,2088,2328874
1986,2006,2090,2330576
1983,2005,2092,2332259
1982,2005,2091,2333942
1982,2004,2088,2335624
1983,2005,2090,2337307
1983,1999,2089,2338990
1983,2007,2088,2340673
1987,2005,2089,2342355
1983,2012,2096,2344037
1981,2006,2089,2345720
1983,2006,2089,2347403
1982,2006,2089,2349086
1982,2005,2091,2350792
1984,2006,2092,2352474
1983,2004,2089,2354157
1983,2006,2089,2355840
1981,2006,2091,2357523
1991,2006,2088,2359205
1985,2004,2091,2376149
1986,2006,2089,2377833
1986,2005,2089,2379515
1978,2007,2090,2381198
1983,2009,2092,2382881
1984,2007,2090,2384564
1983,2007,2089,2386246
1983,2010,2091,2387928
1988,2005,2089,2389611
1983,2012,2096,2391314
1984,2004,2081,2392997
1982,2004,2089,2394679
1983,2005,2089,2396362
1983,2005,2090,2398045
1983,2007,2089,2399728
1983,2006,2091,2401409
1982,2006,2090,2403092
1984,2006,2089,2404774
1982,2005,2087,2406456
1984,1998,2091,2423423
1983,2000,2090,2425107
1982,2006,2089,2426790
1984,2007,2092,2428472
1983,2006,2091,2430188
1980,2006,2090,2431871
1983,2004,2088,2433554
1983,2008,2091,2435236
1983,2004,2098,2436918
1983,2009,2089,2438601
1983,2005,2091,2440284
1985,2007,2091,2441967
1991,2008,2091,2443650
1983,2000,2089,2445332
1983,2005,2090,2447015
1983,2004,2091,2448698
1983,2004,2096,2450413
1982,2005,2089,2452096
1988,2005,2090,2453779
1984,2007,2090,2470723
1983,2007,2089,2472407
1981,2006,2093,2474089
1983,2006,2088,2475772
1983,2005,2090,2477455
1983,2006,2090,2479138
1979,2004,2091,2480821
1980,2005,2091,2482503
1983,2005,2090,2484185
1983,2005,2090,2485868
1982,2006,2090,2487551
1984,2003,2087,2489254
1983,2007,2091,2490936
1983,2006,2090,2492618
1983,2006,2087,2494301
1982,2006,2091,2495984
1984,2006,2091,2497667
1984,2006,2091,2499350
1985,2006,2090,2501032
1983,2007,2089,2517977
1984,2005,2091,2519662
1982,2006,2090,2521345
1983,2002,2090,2523028
1983,2002,2088,2524710
1981,2006,2090,2526392
1985,2003,2088,2528075
1983,2006,2088,2529790
1984,2007,2088,2531472
1983,2007,2094,2533155
1988,2004,2090,2534838
1980,2011,2094,2536521
1983,2004,2088,2538203
1983,2007,2091,2539885
1983,2007,2090,2541568
1983,2007,2091,2543251
1983,2005,2090,2544934
1983,2006,2090,2546616
1983,2007,2091,2548298
1983,2004,2090,2565263
1985,2006,2091,2566947
1985,2005,2091,2568649
1983,2006,2093,2570332
1983,2004,2092,2572014
1980,2006,2091,2573697
1981,2004,2088,2575380
1986,2006,2092,2577063
1981,2006,2089,2578746
1983,2008,2096,2580428
1987,2005,2090,2582111
1981,2010,2096,2583794
1989,2001,2091,2585477
1984,2003,2089,2587160
1982,2007,2091,2588866
1987,2007,2091,2590549
1984,2005,2090,2592232
1994,2007,2090,2593915
1989,2006,2089,2595597
1983,2005,2090,2612542
1983,2006,2091,2614226
1983,2007,2091,2615908
1980,1999,2091,2617590
1982,2004,2089,2619273
1983,2007,2089,2620956
1984,2007,2091,2622639
1985,2006,2091,2624321
1983,2004,2089,2626004
1983,2005,2091,2627687
1982,2008,2093,2629388
1985,2004,2089,2631071
1983,2007,2091,2632754
1987,2005,2090,2634437
1983,2011,2096,2636119
1983,2007,2093,2637802
1987,2006,2089,2639485
1983,2004,2089,2641168
1987,2006,2090,2642851
1983,2006,2091,2659818
1983,2005,2091,2661501
1985,2006,2091,2663183
